,title_code,producer,executive
0,tt5105734, Allison Amon , Allison Amon 
0,tt5105980, Hannu Aukia ,[]
0,tt5113040, Christelle Balcon , Brett Hoffman 
0,tt5125894, Paul Baker , Adam Fogelson 
0,tt5431890, Even Berntsen , Even Berntsen 
0,tt5503686, Alex Brown , Alex Brown 
0,tt5524630, Marco Balsamo , James T. Bruce IV 
0,tt5563334, Richard Brener , Richard Brener 
0,tt5577494, Timur Bekbosunov , Kathryn Bostic 
0,tt5606664, Jon Berg , Akiva Goldsman 
0,tt5668770, Aditya Chopra , Tanvi Gandhi 
0,tt5697572, Tim Bevan , Jo Burn 
0,tt5719748, Petter J. Borgli , Michael Dreyer 
0,tt5727208, Michael Bartol , Oscar Boyson 
0,tt5814534, Kori Adelson , Kori Adelson 
0,tt5822564, Richard Brener , Richard Brener 
0,tt5827916, Elisabeth Bentley , Christoph Fisser 
0,tt5884004, Gabriel Caste , Kathy Rivkin Daum 
0,tt5884052, Greg Baxter , Joseph M. Caracciolo Jr. 
0,tt5886046, Ori Marmur , Rebecca Rivo 
0,tt5888002, Paul Hegeman ,[]
0,tt5919756, Fraser Ash , Omar Chalabi 
0,tt5932728, Nicolas Chartier , Zev Foreman 
0,tt5938950, Maiken Baird , Maiken Baird 
0,tt5941692, Andy Berman , Andy Berman 
0,tt5952594, Alexis Barzin , Tanguy Dekeyser 
0,tt5954556, Michael S. Constable , Lena Headey 
0,tt5968394, Jacquelyn Carr , Jonathan King 
0,tt5974030, Max Arvelaiz , Max Arvelaiz 
0,tt5977276, Jack Arbuthnott , Carlo Dusi 
0,tt6010976, Daniela Alatorre , Luke Lorentzen 
0,tt6012380, Jo Bamford , Jo Bamford 
0,tt6032328, Monika Bacardi , Travis Fimmel 
0,tt6062774, Nicolás Avruj , Andrés Calderón 
0,tt6063090, Michael Heimler , Michael Heimler 
0,tt6079516, James Atherton , James Atherton 
0,tt6087226, Armen Ananikyan ,[]
0,tt6087434, David Brookwell , Chris Brown 
0,tt6095472, Mary Ellen Bauder , David Maisel 
0,tt6105098, John Bartnicki , Tom C. Peitzman 
0,tt6105774, Brian Bosworth , Brian Bosworth 
0,tt6107548, Jillian Apfelbaum , Alison Cohen 
0,tt6139732, Ivan Atkinson , Kevin De La Noy 
0,tt6146586, Karim Abouobayd , Joby Harold 
0,tt6156498, Carlos Nido , Carlos Nido 
0,tt6189022, David Bernardi , David Bernardi 
0,tt6198946, Erkki Astala , Erkki Astala 
0,tt6214468, Stephen Gregory Curtis , Guido Den Broeder 
0,tt6218010, Marina Bespalov , Marina Bespalov 
0,tt6256978, Tamir Ardon , Nate Bolotin 
0,tt6269942, Blake Elder , Kerri Elder 
0,tt6320628, Victoria Alonso , Victoria Alonso 
0,tt6324278, Suzanne Buirgy , Tim Johnson 
0,tt6328242, Shohreh Aghdashloo , Shohreh Aghdashloo 
0,tt6329716, Fruit Chan ,[]
0,tt6344664,[],[]
0,tt6348138, Travis Knight ,[]
0,tt6356220, Rich Christiano ,[]
0,tt6390668, Camilo Cavalcanti , Camilo Cavalcanti 
0,tt6394270, Jason Cloth , Jason Cloth 
0,tt6398184, Julian Fellowes , Nigel Marchant 
0,tt6411748, James Bernstein , James Bernstein 
0,tt6423362, Warren Fischer , Pamela Hirsch 
0,tt6428676, Josh Appelbaum , Don Hahn 
0,tt6439020, Glen Basner , Glen Basner 
0,tt6450804, James Cameron , Edward Cheng 
0,tt6476140, Alastair Burlingham , Alastair Burlingham 
0,tt6511932, Judd Allison , Nik Bower 
0,tt6513120, Daniel Battsek , Daniel Battsek 
0,tt6515910, Mark Beilby , Mark Beilby 
0,tt6521876, Shanan Becker , Shanan Becker 
0,tt6565702, Daniel Auclair , Stan Lee 
0,tt6628322, David U. Lee , David U. Lee 
0,tt6660238, Zhou Difei , Shaohua Huang 
0,tt6668974, John Drage , John Drage 
0,tt6722030, Roxanne Avent , Taseer A. Badar 
0,tt6736198, Pablo Zimbrón Alva , Pablo Garcia Gatterer 
0,tt6751668, Min Heoi Heo , Min Heoi Heo 
0,tt6803212, Jason Blum , Eric B. Fleischman 
0,tt6806448, Kathy Chasen-Hay , Steven Chasman 
0,tt6811018, Tim Bevan , James Biddle 
0,tt6823368, Gary Barber , Gary Barber 
0,tt6838918, Barry Brooker , Barry Brooker 
0,tt6857112, Jason Blum , Daniel Lupi 
0,tt6916348, Devika Bhise , Devika Bhise 
0,tt6916502, Slaven Knezovic ,[]
0,tt6920356, Dave Bishop , Dave Bishop 
0,tt6923892, Dave Christiano ,[]
0,tt6924650, John A. Amicarella , Alastair Burlingham 
0,tt6954136, Daniel Garcia Carrillo , René Mena 
0,tt6964076, Marc Ambrose , Marc Ambrose 
0,tt6976172, Marleen Beaulieu , Marleen Beaulieu 
0,tt6983908, Richard S. Adler , Robinson Devor 
0,tt6993174, Brad Belemjian , Galen Christy 
0,tt7016254, Maren Ade ,[]
0,tt7025388, Aleksandr Denisiuk ,[]
0,tt7054636, Ozzie Areu ,[]
0,tt7066546, Jacquelin Arroyo , Jose Pablo Cantillo 
0,tt7078658, Daniel Battsek , Daniel Battsek 
0,tt7083526, Becki Cross Trujillo , Becki Cross Trujillo 
0,tt7089882, Yôko Furukawa , Yôko Furukawa 
0,tt7128732, Laurent Derré , Gustavo Matheu 
0,tt7131622, Jeffrey Chan , Jeffrey Chan 
0,tt7178226, Chadi Abo , Carolyn Bernstein 
0,tt7193362, Micah Baskir , Leslie Berriman 
0,tt7248248, Gala Avary , Gala Avary 
0,tt7248524, Rachael Ponn ,[]
0,tt7286456, Richard Baratta , Richard Baratta 
0,tt7313348, Gerard Butler , William Gallo II 
0,tt7329656, Byron Allen , Byron Allen 
0,tt7335104, Luca Borghese , Jim Czarnecki 
0,tt7339248, Camille Bertrand , Andrew Karpen 
0,tt7343762, Dan Clarke , Josh Fagen 
0,tt7347846, Paul Barbeau , Ben Browning 
0,tt7349950, Richard Brenner , Richard Brenner 
0,tt7365040, Ron Bozman , Ron Bozman 
0,tt7370952, Ali Afshar , Forrest Lucas 
0,tt7390646, Roxanne Avent , Roxanne Avent 
0,tt7394816, Stephen Bailey , Jeff Bowler 
0,tt7420342, Mary Aloe , Michael Clofine 
0,tt7422822, Jocelyn DeBoer , Jocelyn DeBoer 
0,tt7430722, Padam Bhushan , Padam Bhushan 
0,tt7463730, Vineet Jain , Yogendra Mogre 
0,tt7485048, Vivek b Agrawal , Tanvi Gandhi 
0,tt7547410, Kristin Burr , Eugenio Derbez 
0,tt7549776, Martha Cervantes , Martha Cervantes 
0,tt7549996, Lee Dean , Lee Dean 
0,tt7587876, Joanie Blaikie , Arno Hazebroek 
0,tt7605074, Yushan Chen , Yushan Chen 
0,tt7616148, John Baker , Rob Feng 
0,tt7616798, W. Bruce Cameron , Jeffrey Chan 
0,tt7634968, Shayla Cowan , Taraji P. Henson 
0,tt7639372, Sangeeta Ahir , Dilip Mistry 
0,tt7653254, Noah Baumbach , Craig Shilowich 
0,tt7670212, Fatih Akin , Jasmin Hasel 
0,tt7671064, Jillian Bell , Jillian Bell 
0,tt7710486, Amra Baksic Camo ,[]
0,tt7721800, Atul Agnihotri , Nischay Kuttanda 
0,tt7721946, Firuzi Khan ,[]
0,tt7734218, John Francis Daley , Jeremiah Samuels 
0,tt7736478, Beppe Caschetto , Paula Cosenza 
0,tt7737734, Marie Gade Denessen , Julia Godzinskaya 
0,tt7752126, Dan Clifton , Dan Clifton 
0,tt7760890, Jana Cisar ,[]
0,tt7772498, Chris Estes , Joel Taylor 
0,tt7778680, Ritesh Batra , Smriti Jain 
0,tt7798634, Daniel Bekerman , Daniel Bekerman 
0,tt7902124, Alexander Glehr , Johanna Scherz 
0,tt7903530, François Beghin , Jason Garrett 
0,tt7921248, Maren Ade ,[]
0,tt7942746, Christopher Alender , David A. Smith 
0,tt7958736, Jason Blum , Robin Mulcahy Fisichella 
0,tt7975244, Ted Field , Ted Field 
0,tt7979668, Marcia Bass , Marcia Bass 
0,tt7983890, Ante Cheng , Ante Cheng 
0,tt7984734, Chris Columbus , Chris Columbus 
0,tt7985692, Norm Bacal , Norm Bacal 
0,tt7990992, J. Dixon Byrne ,[]
0,tt8019694, Sandro Aguilar , Kevin Chneiweiss 
0,tt8079248, Nick Angel , Nick Angel 
0,tt8080302, Roy Conli ,[]
0,tt8085790, Kenya Barris , Regina Hall 
0,tt8091892,[],[]
0,tt8103160, Hanna Lundmark , Annika Sucksdorff 
0,tt8108164, Vidhu Vinod Chopra ,[]
0,tt8108200, Prasanthkumar Chandran , Sanjeevkumar Nair 
0,tt8109800, Rai Bassano , Bill Busbice 
0,tt8130904, Suresh Balaje , Suresh Balaje 
0,tt8130968, Gaurav Bose , Mahipal Karan Rathore 
0,tt8134742, Steven Addair , Bill Bromiley 
0,tt8151874, Bill Benenson , Bill Benenson 
0,tt8174450, Rodney Cook ,[]
0,tt8184104, Romain Alarie , Romain Alarie 
0,tt8186318, Aaron Burns ,[]
0,tt8228884, Bailey Brown , Matthew Helderman 
0,tt8233874, Mike Ahern , Mike Ahern 
0,tt8239806, Wai-Keung Chan , Alvin Chau 
0,tt8241872, Abel Ribeiro Chaves ,[]
0,tt8266310, Jane Barclay , Paul Mayeda Berges 
0,tt8291806, Agustín Almodóvar ,[]
0,tt8304386, Pooja Shetty Deora ,[]
0,tt8305806, Travis Cultreri , Willis King 
0,tt8310924, Gabe Figueroa ,[]
0,tt8323104, Rachel Abarbanell , Ellen DeGeneres 
0,tt8342680, Sienna Aquilini , Sienna Aquilini 
0,tt8350360, Richard Brener , Richard Brener 
0,tt8359822, Adrienne D'Anna , Delphine Tomson 
0,tt8363914, Nobeleen Alkhato , Joseph Klein 
0,tt8364368, Alexandre Aja , Justin Bursch 
0,tt8367814, Matthew Anderson , Matthew Anderson 
0,tt8368406, Todd Brown , Todd Brown 
0,tt8372298, Lauren Andrade , Haley Bennett 
0,tt8385474, Holly Bario , Luyuan Fan 
0,tt8400758, Kirsty Bell , Barry Brooker 
0,tt8448426, Gabor Ferenczy , Csaba Pék 
0,tt8484012, Stacey Davis , Stacey Davis 
0,tt8484942, Arun Doshi , Arun Doshi 
0,tt8550208, Sachin Agarwal , Vivek Bhatnagar 
0,tt8574836, Helge Albers , Stephanie Dillon 
0,tt8579674, Jeb Brody , Jeb Brody 
0,tt8586088, Gary Kout , Gary Kout 
0,tt8613070, Rémi Burah ,[]
0,tt8623904, David Austin , Sarah Bradshaw 
0,tt8637428, Dan Balgoyen , Eddie Rubin 
0,tt8647400, Inderjit Chadha , Nischay Kuttanda 
0,tt8649186, Frédéric Berardi , Julia Skorupska 
0,tt8652728, Justin R. Chan , Jacob Jaffke 
0,tt8659948,[],[]
0,tt8663516, Jason Cloth , Jason Cloth 
0,tt8688634, Adrian Alperovich , Adrian Alperovich 
0,tt8695030, Joshua Astrachan , Marcelo Gandola 
0,tt8706884, Abhijit Chawathe ,[]
0,tt8710194, Harry Chahal ,[]
0,tt8722346, Pamela Abdy , Cassandra Butcher 
0,tt8740778, Gianluca Chiaretti ,[]
0,tt8820136, Tyger Eckert , Robert Michet 
0,tt8855960, David Carrico , Bobby Hoppey 
0,tt8856090, Paula Smith Arrigoni , Paula Smith Arrigoni 
0,tt8863066, Lisa Ciuffetti , Brendan Doyle 
0,tt8869978, John Abraham , Rameshchandra Yadav 
0,tt8908002, Vishal Bajaj , Vishal Bajaj 
0,tt8923482, Ines Bensalem , Sally Jo Fifer 
0,tt8923500, Michael Ehrenzweig ,[]
0,tt8946378, Ram Bergman , Tom Karnowski 
0,tt8963708, Ludvig Andersson , Ludvig Andersson 
0,tt8964214, Greg Groggel , Greg Groggel 
0,tt8971476, Greg Basser , Ellen Eliasoph 
0,tt8972256, Kate Glover , Ollie Madden 
0,tt8973144, Yasmin Kamel ,[]
0,tt8974964, Leslie Barany , Leslie Barany 
0,tt8991268, Atanas Georgiev ,[]
0,tt8999864, Katy Baldock , Howard G. Buffett 
0,tt9000224, P. Jennifer Dana , Abigail Disney 
0,tt9015306, Ralph Chapman , Sam Dunn 
0,tt9016016, James Choi , Pierce Cravens 
0,tt9018916, Tae-won Jeong , Tae-won Jeong 
0,tt9019352, Edward Allen , Fernando Lebrija 
0,tt9024106, Fabiano Altamura , Anthony Brannan 
0,tt9034290, Cahit Ceylan ,[]
0,tt9035872, Joe Barbagallo , Faleena Hopkins 
0,tt9052870, Kavan Ahalpara , Kavan Ahalpara 
0,tt9056192, Bertrand Bonello ,[]
0,tt9071322, Timothy Bird , Robert Kessel 
0,tt9073574, Maurice Abercrombie , Maurice Abercrombie 
0,tt9075778, T.C. Christensen ,[]
0,tt9077038, Gopinath ,[]
0,tt9082020, Olias Barco , Gary Phillips 
0,tt9097270, Jennie Bedusa , Michael Bloom 
0,tt9099136, Steven Baker , Beth Hoppe 
0,tt9116358, Dave Jesteadt ,[]
0,tt9129296, Leslie Berriman , Leslie Berriman 
0,tt9134216, Todd Garner , Mark Moran 
0,tt9135318, Nancy Abraham , Nancy Abraham 
0,tt9176136, Dinesh Auluck , Manmeet Bindra 
0,tt9193612, Eun Young Choi , Yoshihiko Taneda 
0,tt9204204, Philippe Bober , Mary Burke 
0,tt9231040, Eli Bush , Eli Bush 
0,tt9239552, Yuji Matsukura ,[]
0,tt9248934, Monisha Advani , Rameshchandra Yadav 
0,tt9248972, Jiten Nand Kishor Arora , Suchit Mukherjee 
0,tt9288776, Di Cui ,[]
0,tt9318730, Fiorenza Cella , Alexander Penev 
0,tt9351746, Drake Doremus ,[]
0,tt9352780, Axel Arnö , Peter Engel 
0,tt9352926, Paula Smith Arrigoni , Paula Smith Arrigoni 
0,tt9353436, John Battsek , Angus Wall 
0,tt9353586, Jessica Hargrave , Lirit Rosenzweig-Topaz 
0,tt9354944, Mark Kamine , Mark Kamine 
0,tt9355194, Debra McClutchy , Parker Posey 
0,tt9356952, Stefanie Lynch ,[]
0,tt9358044, Lori Cheatle , Lori Cheatle 
0,tt9358160, Jonathan Duffy , Jonathan Duffy 
0,tt9358192, Magnus Andersson , Magnus Andersson 
0,tt9358196, Nick Broomfield , Rudi Dolezal 
0,tt9358200, Adam Barker , Adam Barker 
0,tt9358206, Johanna Giebelhaus , Michael Kantor 
0,tt9358246, Philippe Bellaiche , Robin Smith 
0,tt9358250, Callie Barlow , Lorenzo Garzella 
0,tt9358256, Niamh Fagan ,[]
0,tt9364228, Jose Ramon Alama , Michael Carrady 
0,tt9376172, Victor Abraham , Victor Abraham 
0,tt9395794, Nigel Barnes , Nigel Barnes 
0,tt9412268, Jason Garrett , Jason Garrett 
0,tt9426210, Yoshihiro Furusawa , Yoshihiro Furusawa 
0,tt9430698, Hiroki Koyama ,[]
0,tt9445830,[],[]
0,tt9495690, Surabhi Bhatnagar ,[]
0,tt9507276, Gô Wakabayashi ,[]
0,tt9526152,[],[]
0,tt9541602, Ok Kyung Bang , Ok Kyung Bang 
0,tt9563632,[],[]
0,tt9567718, Nicolas Lasnibat ,[]
0,tt9586294, Peter Ho-Sun Chan , Peter Ho-Sun Chan 
0,tt9600932, Adam Bardach , Adam Bardach 
0,tt9612164, Jatinder Jay Minhas , Jobanpreet Singh 
0,tt9612680, Adam Bolt , Greg Boustead 
0,tt9614440, George Brock , George Brock 
0,tt9617456, Waad Al-Kateab , Raney Aronson 
0,tt9617504, Alexander Behse , Alexander Behse 
0,tt9617506, Rodney Evans , Joseph F. Lovett 
0,tt9617716, Terrence Malick , Terrence Malick 
0,tt9629026, Jason C. Lin ,[]
0,tt9635616, Zhonglun Ren , Zhonglun Ren 
0,tt9647768, Li Li ,[]
0,tt9654814, Darren Aronofsky , Darren Aronofsky 
0,tt9680136, Juno Chopra , Ajay Rai 
0,tt9748230, John Beug , John Beug 
0,tt9761064, Sally Jo Fifer , Sally Jo Fifer 
0,tt9799626, Barnet Bain ,[]
0,tt9799960,[],[]
0,tt9799992, Anthimes Arunroj-Angkul ,[]
0,tt9826484, Joseph Morin , Joseph Morin 
0,tt9844368, Garrett Batty ,[]
0,tt9845398, Joanna Lee ,[]
0,tt9896916, Steve Cleary , Steve Cleary 
0,tt0859635, Mugren Al-Ohaly , Justin Begnaud 
0,tt10021622, Adam Barton , Adam Barton 
0,tt10160700, Rick Altizer , Georgette Seay 
0,tt10160782,[],[]
0,tt10192676,[],[]
0,tt1034415, Carlo Antonelli , Carlo Antonelli 
0,tt1072748, Tobin Armbrust , Tobin Armbrust 
0,tt1137450, Roger Birnbaum , Ilona Herzberg 
0,tt11376890,[],[]
0,tt1226837, Sarah Esberg , Sarah Esberg 
0,tt1235187, Alice Dawson , Christian Eisenbeiss 
0,tt1255919, Jamie Christopher , Jessica Elbaum 
0,tt1259528, Oren Aviv , Oren Aviv 
0,tt1270797, Avi Arad , Howard Chen 
0,tt1273221, Reno Antoniades , Reno Antoniades 
0,tt1285009, Bryan Bertino , Bryan Bertino 
0,tt1308728, Felice Bee , Felice Bee 
0,tt1389098, Jack Beloff , Sam Maydew 
0,tt1413492, Yale Badik , Yale Badik 
0,tt1477834, Khadija Alami , Jon Berg 
0,tt1502407, Malek Akkad , John Carpenter 
0,tt1517451, Bradley Cooper , Basil Iwanyk 
0,tt1563742, Eugenio Derbez , Brendan Ferguson 
0,tt1571234, Philippa Boyens , Philippa Boyens 
0,tt1590193, Stuart M. Besser , Stuart M. Besser 
0,tt1620680, Adam Borba , Adam Borba 
0,tt1677720, Bruce Berman , Bruce Berman 
0,tt1727824, Jim Beach , Dexter Fletcher 
0,tt1754650, Nikoloz Bezhuashvili , Igor Kobzev 
0,tt1759744, Paige Barnett , Michael Guerin 
0,tt1773753, Mary Aloe , Gordon Bijelonic 
0,tt1801552, Louis Albano , Louis Albano 
0,tt1825683, Victoria Alonso , Victoria Alonso 
0,tt1846589, Xu Bin , Xu Bin 
0,tt1893269, Dan Braun , Josh Braun 
0,tt1999890, Jolly Dale , Phillip Kobylanski 
0,tt2091245, James Biberi , James Biberi 
0,tt2119543, Holly Bario , Laeta Kalogridis 
0,tt2126357, Felice Bee , Felice Bee 
0,tt2160105, Paul Brooks , Jason Fuchs 
0,tt2179171, Jonathan Berman , Alan Steinfeld 
0,tt2179231, Elisar Cabrera , Jeff K Clarke 
0,tt2231461, Richard Brener , Richard Brener 
0,tt2296777, David Furnish , Elton John 
0,tt2328900, Tim Bevan , Liza Chasin 
0,tt2404639, Guy Allon , Azim Bolkiah 
0,tt2482856, Gia Aaron , Gia Aaron 
0,tt2530316, Laron Austin , Ceasar Richbow 
0,tt2531344, Joseph Amaral , Chris Cowles 
0,tt2639336, Judy Ahn , Hong Chen 
0,tt2651724, Carol Cardenas , Scott Hellon 
0,tt2704998, Jason Bateman , Richard Brener 
0,tt2709692, Audrey Geisel , Audrey Geisel 
0,tt2766104, Ives Agemans ,[]
0,tt2798920, Jo Burn , Jo Burn 
0,tt2837574, Julie Goldstein , Julie Goldstein 
0,tt2854926, Richard Brener , Richard Brener 
0,tt2873282, Garrett Basch , Garrett Basch 
0,tt2924392, Jamie Carmichael , Jamie Carmichael 
0,tt3041550, Lori Cheatle , Philipp Engelhorn 
0,tt3104988, Fran Borgia , Tim Coddington 
0,tt3146022, Jeremy Bonham , Geralyn White Dreyfous 
0,tt3201736, Trey Brunson , Trey Brunson 
0,tt3203528, Dean Devlin , Brandon Lambdin 
0,tt3208026, Will Clarke , Will Clarke 
0,tt3226786, Tannaz Anisi , Tannaz Anisi 
0,tt3261114, Ben Correale , Michael L. Dweck 
0,tt3263946, Kathryn Dean , Kathryn Dean 
0,tt3289724, Derek Hogue , Jacqueline Levine 
0,tt3294746, Michael Bien , Michael Bien 
0,tt3295734, Mike Attebery , R. Scott Leisk 
0,tt3385524, Kate Fasulo , Kate Fasulo 
